video_id,title,channel_title,published_at,view_count,like_count,comment_count,url
EN1tMeXQii0,JISOO X ZAYN - EYES CLOSED (OFFICIAL MV),JISOO,2025-10-10T04:00:06Z,41375780,2191188,159402,https://www.youtube.com/watch?v=EN1tMeXQii0
HBZ_iDbhOi4,BANDUAN - OFFICIAL TRAILER | DI PAWAGAM 6 NOVEMBER 2025,Astro Shaw,2025-10-13T12:00:06Z,140848,4944,873,https://www.youtube.com/watch?v=HBZ_iDbhOi4
g2rpthDIv-s,LIVE | [BM] MPL MY Season 16 Minggu 6 Hari 2,MLBB eSports,2025-10-18T11:56:38Z,350975,1807,8,https://www.youtube.com/watch?v=g2rpthDIv-s
7qnjiZ_jJuU,"DALAM DIAM - MOJACK HAFIZ, Zynakal ft. Zamir Harith (Official Music Video)",Rhunut Music,2025-10-10T12:00:06Z,587157,9826,1547,https://www.youtube.com/watch?v=7qnjiZ_jJuU
39x89Tl1vMI,Dude Trailer (Tamil) | Pradeep Ranganathan | Mamitha Baiju | Keerthiswaran | Sai Abhyankkar,Mythri Movie Makers,2025-10-09T05:37:09Z,4666777,151983,3432,https://www.youtube.com/watch?v=39x89Tl1vMI
s6oRVIeCJCs,🔴 LIVE | MPL ID S16 | RS Hari 3 Minggu 9 | Bahasa Indonesia,MPL Indonesia,2025-10-19T16:59:45Z,7687494,50032,502,https://www.youtube.com/watch?v=s6oRVIeCJCs
wlHwjkYpSr0,BABYMONSTER - ‘WE GO UP’ M/V,BABYMONSTER,2025-10-10T04:00:08Z,58276901,973380,77531,https://www.youtube.com/watch?v=wlHwjkYpSr0
KV_ibv-QstA,Thalaivar Thambi Thalaimaiyil Teaser | Jiiva | Nithish Sahadev | Kannan Ravi | Deepak Ravi,Kannan Ravi Groups,2025-10-17T04:36:37Z,2275267,43176,1904,https://www.youtube.com/watch?v=KV_ibv-QstA
Kt2Bxu4dGeM,*SERAM!!* ||🔴 3 RANDOM HORROR GAMES #32 (Malaysia) #HorrorLivestream,Pok Ro,2025-10-18T17:35:22Z,87126,6699,37,https://www.youtube.com/watch?v=Kt2Bxu4dGeM
BlcaF4EvKTo,Vetri Maaran’s Arasan-Official Promo Video (Tamil) | Silambarasan TR | Anirudh | Kalaippuli S Thanu,Anirudh Ravichander,2025-10-17T04:38:03Z,18689010,425572,10677,https://www.youtube.com/watch?v=BlcaF4EvKTo
