video_id,title,channel_title,published_at,duration,view_count,like_count,comment_count,tags,url
heOv8b-neXU,မဟာဗုဒ္ဓဝင်ဇာတ်တော်ကြီး အပိုင်း ၁ မှ ၅၄ (စ - ဆုံး) ✪ Recap by BTM ✪ ဘီတီအမ် ✪,Burmese Top Movie,2025-01-05T00:30:33Z,PT13H25M11S,319480,6106,215,"နိုင်ငံခြားရုပ်ရှင်, ဘာသာပြန်ရုပ်ရှင်, movie recap, ဘီတီအမ်, ကုလားကား",https://www.youtube.com/watch?v=heOv8b-neXU
NGmbORkVMNc,လောကကိုအလင်းဆောင်သူ  ဗုဒ္ဓဝင်ဇာတ်တော် အပိုင်း ( ၂ ),လောကကိုအလင်းဆောင်သူ မြတ်ဗုဒ္ဓ ,2023-10-22T12:30:39Z,PT43M6S,159043,2064,13,,https://www.youtube.com/watch?v=NGmbORkVMNc
P5_vy8UvM9Y,လောကကိုအလင်းဆောင်သူ  ဗုဒ္ဓဝင်ဇာတ်တော် ( အပိုင်း ၃ )🌻🌻🌻🌼🌼🌼,လောကကိုအလင်းဆောင်သူ မြတ်ဗုဒ္ဓ ,2023-10-27T14:57:16Z,PT43M13S,118388,1309,13,,https://www.youtube.com/watch?v=P5_vy8UvM9Y
K5OMKJ_TGH8,လောကကိုအလင်းဆောင်သူ ဗုဒ္ဓဝင်ဇာတ်တော် အပိုင်း ( ၄ ),လောကကိုအလင်းဆောင်သူ မြတ်ဗုဒ္ဓ ,2023-10-30T15:03:59Z,PT42M55S,109305,1335,2,,https://www.youtube.com/watch?v=K5OMKJ_TGH8
GvOxoJFpb7s,လောကကိုအလင်းဆောင်သူ ( ဗုဒ္ဓဝင်ဇာတ်တော် အပိုင်း (၇ ) 🌼🌼🌼🌻🌻🌻🌹🌹🌹,လောကကိုအလင်းဆောင်သူ မြတ်ဗုဒ္ဓ ,2023-11-01T11:36:34Z,PT43M33S,110440,1413,90,,https://www.youtube.com/watch?v=GvOxoJFpb7s
E2kYxVrb4MQ,လောကကိုအလင်းဆောင်သူ ဗုဒ္ဓဝင်ဇာတ်တော် အပိုင်း ( 3️⃣5️⃣ )🌹🌹🌹🌼🌼🌻🌻💖💖💖💖,လောကကိုအလင်းဆောင်သူ မြတ်ဗုဒ္ဓ ,2023-11-19T03:18:48Z,PT45M14S,102985,1353,14,,https://www.youtube.com/watch?v=E2kYxVrb4MQ
FBF9SBw_ot0,လောကကိုအလင်းဆောင်သူ ( ဗုဒ္ဓဝင်ဇာတ်တော် အပိုင်း ၅ )🌹🌹🌹🌻🌻🌻🌼🌼,လောကကိုအလင်းဆောင်သူ မြတ်ဗုဒ္ဓ ,2023-10-31T00:09:29Z,PT44M2S,102177,1214,11,,https://www.youtube.com/watch?v=FBF9SBw_ot0
ESpBxcP7VSQ,လောကကိုအလင်းဆောင်သူဗုဒ္ဓဇာတ်တော်အပိုင်း 4️⃣2️⃣🌼🌼🌼🌹🌹🌹🌻🌻🌻💖💖💖💖💖,လောကကိုအလင်းဆောင်သူ မြတ်ဗုဒ္ဓ ,2023-11-23T06:11:44Z,PT45M44S,99320,1146,18,,https://www.youtube.com/watch?v=ESpBxcP7VSQ
7yFEPq-8Upc,လောကကိုအလင်းဆောင်သူ ဗုဒ္ဓဝင်ဇာတ်တော် အပိုင်း ( ၆ ) 🙏🙏🙏🌹🌹🌹🌹🌻🌻🌻,လောကကိုအလင်းဆောင်သူ မြတ်ဗုဒ္ဓ ,2023-10-31T11:37:15Z,PT44M59S,100161,1197,11,,https://www.youtube.com/watch?v=7yFEPq-8Upc
cVVw-5NAL2o,လောကကိုအလင်းဆောင်သူ ဗုဒ္ဓဝင်ဇာတ်တော် အပိုင်း ( ၁၀ ) 🌹🌹🌹🌹🌹🌻🌻🌻🌼🌼,လောကကိုအလင်းဆောင်သူ မြတ်ဗုဒ္ဓ ,2023-11-02T05:14:14Z,PT45M23S,97123,1111,10,,https://www.youtube.com/watch?v=cVVw-5NAL2o
IV9MujfLzoA,လောကကိုအလင်းဆောင်သူ ဗုဒ္ဓဝင်ဇာတ်တော် အပိုင်း ( ၈ ) 🌹🌹🌹🌻🌻🌼🌼🌼,လောကကိုအလင်းဆောင်သူ မြတ်ဗုဒ္ဓ ,2023-11-01T11:42:13Z,PT44M34S,94675,1109,10,,https://www.youtube.com/watch?v=IV9MujfLzoA
KqMFtNjbH8k,လောကကိုအလင်းဆောင်သူဗုဒ္ဓဇာတ်တော်အပိုင်း 4️⃣1️⃣ 🌼🌼🌼🌹🌹🌹🌻🌻🌻💖💖💖💖💖,လောကကိုအလင်းဆောင်သူ မြတ်ဗုဒ္ဓ ,2023-11-21T16:14:21Z,PT45M34S,94639,1223,16,,https://www.youtube.com/watch?v=KqMFtNjbH8k
6q7FkTG6zu4,လောကကိုအလင်းဆောင်သူဗုဒ္ဓဇာတ်တော်အပိုင်း ( 2️⃣8️⃣ ) 🌼🌼🌼🌹🌹🌹🌻🌻,လောကကိုအလင်းဆောင်သူ မြတ်ဗုဒ္ဓ ,2023-11-16T03:09:18Z,PT45M27S,91646,1110,12,,https://www.youtube.com/watch?v=6q7FkTG6zu4
8LumlBwOlnc,လောကကိုအလင်းဆောင်သူဗုဒ္ဓဇာတ်တော်အပိုင်း ( 3️⃣4️⃣ )🌻🌻🌻🌼🌼🌼💖💖💖🌹🌹🌹,လောကကိုအလင်းဆောင်သူ မြတ်ဗုဒ္ဓ ,2023-11-18T03:24:38Z,PT45M24S,90993,1291,15,,https://www.youtube.com/watch?v=8LumlBwOlnc
YJRhSz9PbTY,လောကကိုအလင်းဆောင်သူဗုဒ္ဓဇာတ်တော်အပိုင်း 4️⃣4️⃣🌼🌼🌹🌹🌻🌻💖💖💖💖💖💖💖,လောကကိုအလင်းဆောင်သူ မြတ်ဗုဒ္ဓ ,2023-11-24T05:03:43Z,PT45M27S,86772,972,12,,https://www.youtube.com/watch?v=YJRhSz9PbTY
MUK0h4YRwoU,လောကကိုအလင်းဆောင်သူ ဗုဒ္ဓဝင်ဇာတ်တော် အပိုင်း ( ၉ ) 🙏🙏🌼🌼🌼🌻🌻🌻🌻🌹,လောကကိုအလင်းဆောင်သူ မြတ်ဗုဒ္ဓ ,2023-11-02T05:09:20Z,PT44M38S,86066,1008,8,,https://www.youtube.com/watch?v=MUK0h4YRwoU
UZuS0hVswMY,လောကကိုအလင်းဆောင်သူ ဗုဒ္ဓဝင်ဇာတ်တော် အပိုင်း ( ၁၂ ) 🌻🌻🌻🌻🌼🌼🌼🌼🌹🌹,လောကကိုအလင်းဆောင်သူ မြတ်ဗုဒ္ဓ ,2023-11-02T07:44:12Z,PT45M13S,85416,946,8,,https://www.youtube.com/watch?v=UZuS0hVswMY
chLsnzgNlq0,လောကကိုအလင်းဆောင်သူဗုဒ္ဓဝင်ဇာတ်တော် အပိုင်း (3️⃣6️⃣ ) 🌹🌹🌼🌼🌼🌻🌻💖💖💖💖,လောကကိုအလင်းဆောင်သူ မြတ်ဗုဒ္ဓ ,2023-11-19T03:40:10Z,PT45M6S,82684,1000,5,,https://www.youtube.com/watch?v=chLsnzgNlq0
pYQaN38cw_k,လောကကိုအလင်းဆောင်သူဗုဒ္ဓဇာတ်တော်အပိုင်း 4️⃣0️⃣ 🌻🌻🌻🌼🌼🌼🌹🌹🌹💖💖💖💖💖,လောကကိုအလင်းဆောင်သူ မြတ်ဗုဒ္ဓ ,2023-11-21T02:00:01Z,PT45M24S,81288,1063,12,,https://www.youtube.com/watch?v=pYQaN38cw_k
HwA6RjNMXdQ,လောကကိုအလင်းဆောင်သူ ဗုဒ္ဓဝင်ဇာတ်တော် အပိုင်း ( ၁၆ ) 🌻🌻🌻🌹🌹🌹🌼🌼🌼💖💖,လောကကိုအလင်းဆောင်သူ မြတ်ဗုဒ္ဓ ,2023-11-06T17:22:26Z,PT45M30S,77721,990,6,,https://www.youtube.com/watch?v=HwA6RjNMXdQ
